更新时间: 2026-02-21 10:42:05（北京时间）

更新时间,#genre#
2026-02-21 10:42:05,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://115.175.39.151:1000/udp/239.45.1.21:5140$上海市电信
CCTV1,http://115.175.39.151:1000/udp/239.45.3.145:5140$上海市电信
CCTV1,http://43.138.5.183:10001/rtp/225.1.8.1:8008$北京市电信
CCTV1,http://144.0.57.58:7005/rtp/239.21.1.120:5002$山东电信
CCTV2,http://115.175.39.151:1000/udp/239.45.0.1:5140$上海市电信
CCTV2,http://115.175.39.151:1000/udp/239.45.3.208:5140$上海市电信
CCTV2,http://43.138.5.183:10001/rtp/225.1.8.2:8084$北京市电信
CCTV2,http://144.0.57.58:7005/rtp/239.21.1.151:5002$山东电信
CCTV3,http://115.175.39.151:1000/udp/239.45.1.68:5140$上海市电信
CCTV3,http://43.138.5.183:10001/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://144.0.57.58:7005/rtp/239.21.2.45:5002$山东电信
CCTV4,http://115.175.39.151:1000/udp/239.45.0.2:5140$上海市电信
CCTV4,http://43.138.5.183:10001/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://144.0.57.58:7005/rtp/239.21.1.154:5002$山东电信
CCTV4欧洲,http://144.0.57.58:7005/rtp/239.21.2.28:5002$山东电信
CCTV4美洲,http://144.0.57.58:7005/rtp/239.21.2.29:5002$山东电信
CCTV5,http://115.175.39.151:1000/udp/239.45.1.69:5140$上海市电信
CCTV5,http://115.175.39.151:1000/udp/239.45.0.34:5140$上海市电信
CCTV5,http://43.138.5.183:10001/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://144.0.57.58:7005/rtp/239.21.2.46:5002$山东电信
CCTV5+,http://43.138.5.183:10001/rtp/225.1.8.20:8004$北京市电信
CCTV5+,http://144.0.57.58:7005/rtp/239.21.1.142:5002$山东电信
CCTV6,http://115.175.39.151:1000/udp/239.45.1.70:5140$上海市电信
CCTV6,http://43.138.5.183:10001/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://144.0.57.58:7005/rtp/239.21.2.47:5002$山东电信
CCTV7,http://115.175.39.151:1000/udp/239.45.3.56:5140$上海市电信
CCTV7,http://43.138.5.183:10001/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://144.0.57.58:7005/rtp/239.21.1.152:5002$山东电信
CCTV8,http://115.175.39.151:1000/udp/239.45.1.71:5140$上海市电信
CCTV8,http://43.138.5.183:10001/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://144.0.57.58:7005/rtp/239.21.2.48:5002$山东电信
CCTV9,http://115.175.39.151:1000/udp/239.45.3.4:5140$上海市电信
CCTV9,http://43.138.5.183:10001/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://144.0.57.58:7005/rtp/239.21.1.153:5002$山东电信
CCTV10,http://115.175.39.151:1000/udp/239.45.3.8:5140$上海市电信
CCTV10,http://43.138.5.183:10001/rtp/225.1.8.10:8116$北京市电信
CCTV10,http://144.0.57.58:7005/rtp/239.21.1.155:5002$山东电信
CCTV11,http://115.175.39.151:1000/udp/239.45.0.18:5140$上海市电信
CCTV11,http://43.138.5.183:10001/rtp/225.1.8.73:8120$北京市电信
CCTV11,http://144.0.57.58:7005/rtp/239.21.2.2:5002$山东电信
CCTV12,http://115.175.39.151:1000/udp/239.45.3.10:5140$上海市电信
CCTV12,http://115.175.39.151:1000/udp/239.45.3.124:5140$上海市电信
CCTV12,http://43.138.5.183:10001/rtp/225.1.8.12:8124$北京市电信
CCTV12,http://144.0.57.58:7005/rtp/239.21.1.156:5002$山东电信
CCTV13,http://115.175.39.151:1000/udp/239.45.0.19:5140$上海市电信
CCTV13,http://43.138.5.183:10001/rtp/225.1.8.168:8130$北京市电信
CCTV13,http://144.0.57.58:7005/rtp/239.21.2.3:5002$山东电信
CCTV14,http://115.175.39.151:1000/udp/239.45.3.125:5140$上海市电信
CCTV14,http://115.175.39.151:1000/udp/239.45.3.23:5140$上海市电信
CCTV14,http://43.138.5.183:10001/rtp/225.1.8.14:8132$北京市电信
CCTV14,http://144.0.57.58:7005/rtp/239.21.1.157:5002$山东电信
CCTV15,http://115.175.39.151:1000/udp/239.45.0.20:5140$上海市电信
CCTV15,http://115.175.39.151:1000/udp/239.45.3.126:5140$上海市电信
CCTV15,http://43.138.5.183:10001/rtp/225.1.8.74:8136$北京市电信
CCTV15,http://144.0.57.58:7005/rtp/239.21.2.4:5002$山东电信
CCTV16,http://115.175.39.151:1000/udp/239.45.0.10:5140$上海市电信
CCTV16,http://115.175.39.151:1000/udp/233.18.204.114:5140$上海市电信
CCTV16,http://115.175.39.151:1000/udp/233.18.204.215:5140$上海市电信
CCTV16,http://115.175.39.151:1000/udp/239.45.0.12:5140$上海市电信
CCTV17,http://115.175.39.151:1000/udp/239.45.3.251:5140$上海市电信
CCTV17,http://115.175.39.151:1000/udp/239.45.3.52:5140$上海市电信
CCTV17,http://43.138.5.183:10001/rtp/225.1.8.17:8144$北京市电信
CCTV17,http://144.0.57.58:7005/rtp/239.21.1.186:5002$山东电信
CCTV4K,http://115.175.39.151:1000/udp/233.18.204.188:5140$上海市电信
兵器科技,http://115.175.39.151:1000/udp/239.45.0.45:5140$上海市电信
兵器科技,http://115.175.39.151:1000/udp/239.45.1.74:5140$上海市电信
风云音乐,http://115.175.39.151:1000/udp/239.45.0.52:5140$上海市电信
风云足球,http://115.175.39.151:1000/udp/239.45.0.43:5140$上海市电信
风云足球,http://115.175.39.151:1000/udp/239.45.1.75:5140$上海市电信
风云剧场,http://115.175.39.151:1000/udp/239.45.0.50:5140$上海市电信
怀旧剧场,http://115.175.39.151:1000/udp/239.45.0.49:5140$上海市电信
第一剧场,http://115.175.39.151:1000/udp/239.45.0.51:5140$上海市电信
女性时尚,http://115.175.39.151:1000/udp/239.45.0.47:5140$上海市电信
世界地理,http://115.175.39.151:1000/udp/239.45.0.46:5140$上海市电信
央视台球,http://115.175.39.151:1000/udp/239.45.0.44:5140$上海市电信
高尔夫网球,http://115.175.39.151:1000/udp/239.45.0.48:5140$上海市电信
高尔夫网球,http://115.175.39.151:1000/udp/239.45.1.72:5140$上海市电信
央视文化精品,http://115.175.39.151:1000/udp/239.45.0.53:5140$上海市电信
央视文化精品,http://115.175.39.151:1000/udp/239.45.1.17:5140$上海市电信
电视指南,http://115.175.39.151:1000/udp/239.45.1.73:5140$上海市电信

卫视频道,#genre#
湖南卫视,http://115.175.39.151:1000/udp/239.45.3.228:5140$上海市电信
湖南卫视,http://43.138.5.183:10001/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://144.0.57.58:7005/rtp/239.21.1.158:5002$山东电信
浙江卫视,http://115.175.39.151:1000/udp/239.45.3.178:5140$上海市电信
浙江卫视,http://43.138.5.183:10001/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://144.0.57.58:7005/rtp/239.21.1.90:5002$山东电信
江苏卫视,http://115.175.39.151:1000/udp/239.45.3.177:5140$上海市电信
江苏卫视,http://43.138.5.183:10001/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://144.0.57.58:7005/rtp/239.21.1.89:5002$山东电信
东方卫视,http://115.175.39.151:1000/udp/239.45.3.146:5140$上海市电信
东方卫视,http://43.138.5.183:10001/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://144.0.57.58:7005/rtp/239.21.1.111:5002$山东电信
深圳卫视,http://115.175.39.151:1000/udp/239.45.3.231:5140$上海市电信
深圳卫视,http://43.138.5.183:10001/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://144.0.57.58:7005/rtp/239.21.1.93:5002$山东电信
北京卫视,http://115.175.39.151:1000/udp/239.45.3.229:5140$上海市电信
北京卫视,http://43.138.5.183:10001/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://144.0.57.58:7005/rtp/239.21.1.88:5002$山东电信
广东卫视,http://115.175.39.151:1000/udp/239.45.3.230:5140$上海市电信
广东卫视,http://43.138.5.183:10001/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://144.0.57.58:7005/rtp/239.21.1.92:5002$山东电信
广西卫视,http://115.175.39.151:1000/udp/239.45.0.5:5140$上海市电信
东南卫视,http://115.175.39.151:1000/udp/239.45.1.121:5140$上海市电信
东南卫视,http://43.138.5.183:10001/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://144.0.57.58:7005/rtp/239.21.1.113:5002$山东电信
海南卫视,http://115.175.39.151:1000/udp/239.45.1.81:5140$上海市电信
海南卫视,http://144.0.57.58:7005/rtp/239.21.2.14:5002$山东电信
河北卫视,http://115.175.39.151:1000/udp/239.45.1.44:5140$上海市电信
河北卫视,http://43.138.5.183:10001/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://144.0.57.58:7005/rtp/239.21.1.168:5002$山东电信
河南卫视,http://115.175.39.151:1000/udp/239.45.0.3:5140$上海市电信
河南卫视,http://144.0.57.58:7005/rtp/239.21.2.37:5002$山东电信
湖北卫视,http://115.175.39.151:1000/udp/239.45.3.239:5140$上海市电信
湖北卫视,http://43.138.5.183:10001/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://144.0.57.58:7005/rtp/239.21.1.163:5002$山东电信
江西卫视,http://115.175.39.151:1000/udp/239.45.1.122:5140$上海市电信
江西卫视,http://43.138.5.183:10001/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://144.0.57.58:7005/rtp/239.21.1.167:5002$山东电信
四川卫视,http://115.175.39.151:1000/udp/239.45.1.23:5140$上海市电信
四川卫视,http://115.175.39.151:1000/udp/239.45.1.83:5140$上海市电信
四川卫视,http://144.0.57.58:7005/rtp/239.21.2.15:5002$山东电信
重庆卫视,http://115.175.39.151:1000/udp/239.45.1.84:5140$上海市电信
重庆卫视,http://43.138.5.183:10001/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://144.0.57.58:7005/rtp/239.21.1.233:5002$山东电信
贵州卫视,http://115.175.39.151:1000/udp/239.45.1.80:5140$上海市电信
贵州卫视,http://43.138.5.183:10001/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://144.0.57.58:7005/rtp/239.21.1.166:5002$山东电信
云南卫视,http://115.175.39.151:1000/udp/239.45.0.4:5140$上海市电信
云南卫视,http://115.175.39.151:1000/udp/239.45.3.206:5140$上海市电信
天津卫视,http://115.175.39.151:1000/udp/239.45.1.124:5140$上海市电信
天津卫视,http://43.138.5.183:10001/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://144.0.57.58:7005/rtp/239.21.1.165:5002$山东电信
安徽卫视,http://115.175.39.151:1000/udp/239.45.1.120:5140$上海市电信
安徽卫视,http://115.175.39.151:1000/udp/239.45.3.143:5140$上海市电信
安徽卫视,http://43.138.5.183:10001/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://144.0.57.58:7005/rtp/239.21.1.159:5002$山东电信
山东卫视,http://115.175.39.151:1000/udp/239.45.3.238:5140$上海市电信
山东卫视,http://43.138.5.183:10001/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://144.0.57.58:7005/rtp/239.21.1.87:5002$山东电信
辽宁卫视,http://115.175.39.151:1000/udp/239.45.1.123:5140$上海市电信
辽宁卫视,http://43.138.5.183:10001/rtp/225.1.8.51:8056$北京市电信
辽宁卫视,http://144.0.57.58:7005/rtp/239.21.1.164:5002$山东电信
黑龙江卫视,http://115.175.39.151:1000/udp/239.45.3.232:5140$上海市电信
黑龙江卫视,http://43.138.5.183:10001/rtp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://144.0.57.58:7005/rtp/239.21.1.28:5002$山东电信
吉林卫视,http://115.175.39.151:1000/udp/239.45.0.6:5140$上海市电信
吉林卫视,http://115.175.39.151:1000/udp/239.45.3.248:5140$上海市电信
吉林卫视,http://144.0.57.58:7005/rtp/239.21.2.49:5002$山东电信
山西卫视,http://115.175.39.151:1000/udp/239.45.0.57:5140$上海市电信
山西卫视,http://115.175.39.151:1000/udp/239.45.3.205:5140$上海市电信
甘肃卫视,http://115.175.39.151:1000/udp/239.45.0.15:5140$上海市电信
甘肃卫视,http://144.0.57.58:7005/rtp/239.21.2.22:5002$山东电信
青海卫视,http://115.175.39.151:1000/udp/239.45.0.37:5140$上海市电信
青海卫视,http://144.0.57.58:7005/rtp/239.21.2.51:5002$山东电信
三沙卫视,http://115.175.39.151:1000/udp/239.45.0.56:5140$上海市电信
