央视卫视,#genre#
CCTV-1 综合,http://itv.1920.qzz.io/api/sailei.php?id=65b36335
CCTV-2 财经,http://itv.1920.qzz.io/api/sailei.php?id=65b5b8f5
CCTV-3 综艺,http://itv.1920.qzz.io/api/sailei.php?id=65b47a65
CCTV-4 中文国际,http://itv.1920.qzz.io/api/sailei.php?id=n4a5d2858
CCTV-5 体育,http://itv.1920.qzz.io/api/sailei.php?id=65af9be4
CCTV-6 电影,http://itv.1920.qzz.io/api/sailei.php?id=65b48560
CCTV-7 国防军事,http://itv.1920.qzz.io/api/sailei.php?id=n408755f8
CCTV-8 电视剧,http://itv.1920.qzz.io/api/sailei.php?id=50fdc854
CCTV-9 记录,http://itv.1920.qzz.io/api/sailei.php?id=65b89b46
CCTV-10 科教,http://itv.1920.qzz.io/api/sailei.php?id=4ee90a2f
CCTV-11 戏曲,http://itv.1920.qzz.io/api/sailei.php?id=4ee69fa9
CCTV-12 社会与法,http://itv.1920.qzz.io/api/sailei.php?id=3bac7728
CCTV-13 新闻,http://itv.1920.qzz.io/api/sailei.php?id=4ee827ef
CCTV-14 少儿,http://itv.1920.qzz.io/api/sailei.php?id=4ee72d51
CCTV-15 音乐,http://itv.1920.qzz.io/api/sailei.php?id=4eeedf1f
CCTV-16 奥林匹克,http://itv.1920.qzz.io/api/sailei.php?id=34622605
CCTV-17 农业农村,http://itv.1920.qzz.io/api/sailei.php?id=322d3cd3
CCTV-5+ 体育赛事,http://itv.1920.qzz.io/api/sailei.php?id=nef8dac1
重温经典,http://itv.1920.qzz.io/api/sailei.php?id=1e1c6a0d
湖南卫视,http://itv.1920.qzz.io/api/sailei.php?id=5a53e58d
浙江卫视,http://itv.1920.qzz.io/api/sailei.php?id=5a3edab2
江苏卫视,http://itv.1920.qzz.io/api/sailei.php?id=5a21705c
东方卫视,http://itv.1920.qzz.io/api/sailei.php?id=4bf2a9e9
北京卫视,http://itv.1920.qzz.io/api/sailei.php?id=4ddfb741
深圳卫视,http://itv.1920.qzz.io/api/sailei.php?id=5a3478ee
广东卫视,http://itv.1920.qzz.io/api/sailei.php?id=530cf649
东南卫视,http://itv.1920.qzz.io/api/sailei.php?id=4bada807
广西卫视,http://itv.1920.qzz.io/api/sailei.php?id=53ebe4ec
湖北卫视,http://itv.1920.qzz.io/api/sailei.php?id=5a52f54d
四川卫视,http://itv.1920.qzz.io/api/sailei.php?id=4fcef3ee
CGTN,http://itv.1920.qzz.io/api/sailei.php?id=2708082f

广东,#genre#
